collision_index,collision_year,severity_binary,is_night,is_weekend,young_passenger,driver_sex,severity,lighting,day_type,young_passenger_label
2023471383807,2023,1,0,0,0,Female only,Higher severity,Day,Weekday,No young passenger
2018460275122,2018,0,1,0,0,Male only,Lower severity,Night,Weekday,No young passenger
2024440326164,2024,0,0,0,0,Male only,Lower severity,Day,Weekday,No young passenger
2020040990803,2020,0,0,1,1,Male only,Lower severity,Day,Weekend,Young passenger present
2020320046496,2020,1,1,1,1,Male only,Higher severity,Night,Weekend,Young passenger present
2018010097789,2018,0,1,0,0,Female only,Lower severity,Night,Weekday,No young passenger
2020041020055,2020,0,0,0,0,Male only,Lower severity,Day,Weekday,No young passenger
2023361350348,2023,0,0,1,0,Female only,Lower severity,Day,Weekend,No young passenger
2020622000726,2020,0,0,1,0,Male only,Lower severity,Day,Weekend,No young passenger
2024221475721,2024,1,1,0,1,Male only,Higher severity,Night,Weekday,Young passenger present
2024320108664,2024,0,0,0,0,Female only,Lower severity,Day,Weekday,No young passenger
2018460259473,2018,0,1,0,0,Male only,Lower severity,Night,Weekday,No young passenger
2023201412372,2023,1,0,1,0,Male only,Higher severity,Day,Weekend,No young passenger
2021131041384,2021,1,0,0,1,Female only,Higher severity,Day,Weekday,Young passenger present
2023311375073,2023,0,1,0,0,Female only,Lower severity,Night,Weekday,No young passenger
2023041293731,2023,0,0,0,0,Female only,Lower severity,Day,Weekday,No young passenger
2023451272212,2023,0,1,1,1,Female only,Lower severity,Night,Weekend,Young passenger present
2024440284760,2024,0,0,1,0,Male only,Lower severity,Day,Weekend,No young passenger
2019360855170,2019,0,0,0,0,Female only,Lower severity,Day,Weekday,No young passenger
2021302101386,2021,0,1,0,0,Female only,Lower severity,Night,Weekday,No young passenger
2024320350407,2024,0,0,1,0,Female only,Lower severity,Day,Weekend,No young passenger
2020010241341,2020,0,1,0,0,Male only,Lower severity,Night,Weekday,No young passenger
2023320628717,2023,0,1,0,1,Male only,Lower severity,Night,Weekday,Young passenger present
2023041378196,2023,0,1,0,1,Male only,Lower severity,Night,Weekday,Young passenger present
2024302400414,2024,1,0,0,0,Female only,Higher severity,Day,Weekday,No young passenger
2020421006034,2020,1,1,1,1,Male only,Higher severity,Night,Weekend,Young passenger present
2018370312867,2018,0,1,1,0,Female only,Lower severity,Night,Weekend,No young passenger
2023131262302,2023,0,0,0,0,Male only,Lower severity,Day,Weekday,No young passenger
2021421110305,2021,0,1,0,1,Male only,Lower severity,Night,Weekday,Young passenger present
2020360961931,2020,0,1,1,0,Male only,Lower severity,Night,Weekend,No young passenger
2020010229704,2020,0,1,1,0,Male only,Lower severity,Night,Weekend,No young passenger
2019440347679,2019,1,1,0,0,Female only,Higher severity,Night,Weekday,No young passenger
2021351014243,2021,0,1,0,0,Female only,Lower severity,Night,Weekday,No young passenger
2023332300923,2023,1,0,0,0,Male only,Higher severity,Day,Weekday,No young passenger
2023520400666,2023,0,0,1,0,Female only,Lower severity,Day,Weekend,No young passenger
2024221439216,2024,0,0,1,0,Male only,Lower severity,Day,Weekend,No young passenger
2022010387464,2022,0,1,1,0,Male only,Lower severity,Night,Weekend,No young passenger
2018430023041,2018,1,1,0,0,Male only,Higher severity,Night,Weekday,No young passenger
